num_dossier,nom_site,date_creasite,adresse,quartier,secteur,commune,ev_tabac,ev_proprietaire,nb_acces,ev_fermable,ev_typologie,nb_arbres,acces_pmr
JACO_000253,EV 1 Parking Rue C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
JACO_000245,EV 5 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
,NEW EV Angle Route de Montpellier,,,,,Sussargues,,3M,,,2. Acc. de voiries,,
BAIL_000033,EV Parking impasse Roumanille,,IMPASSE JOSEPH ROUMANILLE,,,Baillargues,,3M,,,11. Parking,3,
,NEW Parking Cours B de Frédol,,,,,Lavérune,,,,,,,
,NEW EV rue des Fontaines,,,,,Sussargues,,3M,,,2. Acc. de voiries,,
JACO_000246,EV 4 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
CLAP_000012,EV 4 Entrée Médiathèque,,AVENUE ALBERT CAMUS,,,Clapiers,,,,,6. Espaces verts écoles et crèches,,
CLAP_000136,Placette 1 Plan des Rayons d'Oc,,PLAN DES RAYONS D OC,,,Clapiers,,,,,14. Placette de lotissement,,
CLAP_000261,Placette Rue des érables,,RUE DES ERABLES,,,Clapiers,,,,,14. Placette de lotissement,,
,NEW Face écoles,,,,,Sussargues,,3M,,,2. Acc. de voiries,,
CLAP_000254,Accot. 10 Rue des Closades,,RUE DES CLOSADES,,,Clapiers,,,,,2. Acc. de voiries,,
,NEW Talus av. de Lahntal,,,,,Sussargues,,3M,,,2. Acc. de voiries,,
JACO_000240,EV 10 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
STGN_000048,Entrée route de Saint Brès,, ,,,Saint-Geniès-des-Mourgues,,,,,2. Acc. de voiries,0,
CRES_000074,EV  parking des Ecoles,,AVENUE DES CEVENNES,,,Le Crès,,,,,11. Parking,,
LATT_000505,EV 9 parking piscine et collège,,CHEMIN DES COURREGES,,,Lattes,,,,,11. Parking,,
CRES_000623,Accot. 2 (en angle) Bât Sud Est,,SQUARE JEAN JAURES,,,Le Crès,,,,,11. Parking,,
CRES_000506,EV 2 parking Ouest L. Michel,,RUE LOUISE MICHEL,,,Le Crès,,,,,11. Parking,,
CLAP_000268,Placette Angle Rue des Litanies,,RUE DES LITANIES,,,Clapiers,,,,,14. Placette de lotissement,,
CLAP_000269,TPC 1 Rue des Moulières,,RUE DES MOULIERES,,,Clapiers,,,,,2. Acc. de voiries,,
,NEW Massif entrée parking école,,,,,Cournonterral,,,,,,,
CSTL_000399,EV 2 Angle Ch. du P. Poucet - Rue des Ecureuils,,CHEMIN DU PETIT POUCET,,,Castelnau-le-Lez,,,,,2. Acc. de voiries,,
CSTL_000596,EV 4 Parking City Stade,,RUE DES ANEMONES,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000733,Accot. Long Parking Ouest Résidence (Le Rochet),,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000736,EV 15 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000735,EV 16 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000737,EV 17 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000741,EV 18 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
STGN_000046,Rond-point du Stade,, ,,,Saint-Geniès-des-Mourgues,,,,,2. Acc. de voiries,2,
CSTL_000744,EV 19 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
STGN_000001,Quartier vigneron placette,, ,,,Saint-Geniès-des-Mourgues,,,,,13. Placette,3,
CSTL_000701,EV 1 Parking Rue E. Dantoine,,RUE ETIENNE DANTOINE,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000702,EV 2 Parking Rue E. Dantoine,,RUE ETIENNE DANTOINE,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000703,EV 3 Parking Rue E. Dantoine,,RUE ETIENNE DANTOINE,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000781,EV Parking Rue P. Granier,,RUE PIERRE GRANIER,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000762,EV 3 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000760,EV 4 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000758,EV 5 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000756,EV 6 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000755,EV 11 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000761,EV 8 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000742,EV 20 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000740,EV 21 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000738,EV 22 Parking Rue J. A. Injalbert,,RUE JEAN ANTOINE INJALBERT,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTL_000611,EV 1 Parking Rue des Décurions,,RUE DES DECURIONS,,,Castelnau-le-Lez,,,,,11. Parking,,
